motif_count_g1,motif_count_g2,motif_count_other_g1,motif_count_other_g2,motif,oddsratio,pvalue,qvalues,-log10-qvalues,log2FC
210,15866,480771,20023021,PRDM14,0.5512431228686459,3.4945192979739945e-21,7.465563954762625e-21,20.126937379741985,-0.8592393427028082
935,103840,480046,19935047,PRDM16,0.37392227731953936,2.283507514486332e-276,4.599636564893897e-275,274.3372764822525,-1.4191896691017798
192,12982,480789,20025905,PRDM4,0.6160234613506721,6.512249904273758e-13,1.1772144057725638e-12,11.929144432004595,-0.698942797652715
1750,80218,479231,19958669,PRDM5,0.9085584901163694,6.266541569515179e-05,8.415070107634669e-05,4.074942261478764,-0.1383487013034794
700,32431,480281,20006456,PRDM9,0.8991092317644772,0.0051265028721634714,0.006396786769690703,2.194038125801138,-0.1534316971098983
68,3520,480913,20035367,PROX1,0.8048168015836544,0.07728257617712514,0.08823354850991615,1.0543662542960406,-0.31326767131897254
872,80326,480109,19958561,RBPJ,0.45128377801961955,1.0377684117361465e-157,9.440344906761074e-157,156.0250121382902,-1.1478931749482528
655,76604,480326,19962283,REL-halfsite,0.35535625553019545,3.165155515776573e-219,4.2503516926142557e-218,217.37157513304558,-1.4926619988159888
1500,61332,479481,19977555,REST/NRSF,1.0190020662345562,0.46768694040421943,0.4939614876179396,0.3063069101189005,0.027156976865184455
2037,104814,478944,19934073,RFX/1,0.8088780327668836,1.4099661881198808e-22,3.1063317582016124e-22,21.50775216320435,-0.3060059136016287
299,18099,480682,20020788,RFX/2,0.6880815543387011,1.1437432530503829e-11,1.9909604775321477e-11,10.700937361047458,-0.5393485255020428
1271,77182,479710,19961705,RFX/3,0.6852489578655303,1.1191657195750238e-45,3.5864174195472354e-45,44.445339164730356,-0.5452998659017984
1609,104944,479372,19933943,RUNX/1,0.6375569424761525,1.1931887703534492e-82,6.348664778107031e-82,81.19731760391664,-0.6493738949405419
597,27466,480384,20011421,RUNX/2,0.9054579997528955,0.01600117202032823,0.01936622536365906,1.712955018593257,-0.14328037248997236
160,13239,480821,20025648,SCRT1,0.5033475409371998,4.1473941114910987e-22,9.066396429771238e-22,21.042565295259898,-0.9903732287528713
465,35851,480516,20003036,SIX/1,0.5399328389131832,2.1011449309609013e-48,7.138829765433424e-48,47.14637297422776,-0.8891481301905071
81,3580,480900,20035307,SIX/2,0.9426342524665693,0.6618620914542113,0.6762503977901724,0.16989246642064068,-0.0852299894243625
2393,185380,478588,19853507,SMAD,0.5354947891369801,9.80855533802592e-248,1.4557961080648998e-246,245.83689944600025,-0.9010555586098974
190,14420,480791,20024467,SMARCA1,0.5487733039997186,1.3237338210802602e-19,2.765132870700988e-19,18.5582839950552,-0.8657177939961634
1722,74594,479259,19964293,SMARCA5,0.96164086116882,0.11091268209798394,0.12510950540652588,0.9027096927943735,-0.056429895850353705
387,45389,480594,19993498,SNAI2,0.3547078414958614,5.704641964618031e-131,4.1248949590314994e-130,129.3845871063368,-1.4952968707260597
2070,118201,478911,19920686,SOX/1,0.728448196282461,6.905265252250947e-51,2.404055310042922e-50,49.61905554475162,-0.45710171645316283
139,16965,480842,20021922,SOX/2,0.341164871078217,2.126650437720169e-52,7.688659274834457e-52,51.114149384555574,-1.5514589914034147
310,24636,480671,20014251,SOX/3,0.5239416452299198,2.3171991513193624e-36,6.736599594557322e-36,35.1715592651814,-0.9325219564557848
524,25592,480457,20013295,SOX/4,0.8528862869666127,0.0002479237344470665,0.00032823705687358103,3.483812390110403,-0.22957469116941706
405,25509,480576,20013378,SOX/5,0.6611803061423317,1.252913338501263e-18,2.5603011699808417e-18,17.591708945325784,-0.5968843416030701
264,13799,480717,20025088,SOX/6,0.796968698960345,0.00018495498248288802,0.0002471910192425328,3.6069673117558017,-0.32740503157683915
40,1941,480941,20036946,SOX/7,0.8585669797829717,0.3729191869365825,0.3998601167913166,0.39809191149850975,-0.2199974066339075
171,10124,480810,20028763,SOX/8,0.7035980219521398,1.8907123508946826e-06,2.692832742183336e-06,5.5697906207447,-0.5071766679669851
262,13926,480719,20024961,SPDEF/1,0.7837098258888648,5.635979607644176e-05,7.604527508878745e-05,4.11892776473543,-0.3516085097336589
221,10111,480760,20028776,SPDEF/2,0.9105928717403721,0.18223228381862167,0.2015274668111816,0.6956657541303368,-0.13512192912246118
1490,90238,479491,19948649,SPI,0.6869574474830518,1.682208084496317e-52,6.1608140237397576e-52,51.21036190103984,-0.5417073585899885
189,11588,480792,20027299,SPZ1,0.6793889307056543,2.3611171163698815e-08,3.65843421327641e-08,7.436704750133915,-0.5576903823313533
2348,130550,478633,19908337,SREBF1,0.7480895045472213,5.19258884716481e-48,1.7432262558339006e-47,46.75864624152849,-0.4187172043982298
279,18067,480702,20020820,SRF,0.6431674997616312,4.914905906702238e-15,9.30203668248343e-15,14.031421952185422,-0.636733588117663
